"","year","area","HenID","MAT","MATsd","CP","MCP","MCPsd","AFGmn","AFGsd","BGmn","BGsd","PFGmn","PFGsd","SHRmn","SHRsd"
"1",2011,154.02184433,"H1",8.26716614817122,9.16157393227505,604.673621944979,50.3894684954149,60.932743387734,9.03445320361124,6.32882103880709,11.2420306748471,8.92644191898463,57.6523719553014,9.99743753270462,6.84873334522256,2.71964793011808
"2",2011,514.92482295,"H100",7.06071812869241,8.77292747635912,540.791804299804,45.0659836916503,50.6380520591987,7.62823091122866,6.0476946394816,9.28269357463858,5.64240421385968,61.6589069762825,10.4516356215024,6.07793749559356,2.41644079419705
"3",2011,1091.8804417,"H1000",7.75396314153514,8.95102982274967,590.669170848823,49.2224309040686,57.5415111956605,7.45683827298187,5.07674027320269,10.8470639685534,6.47454325406591,60.4259095488492,9.63511205927938,6.40853961879388,2.4871069823794
"4",2011,205.03507616,"H11",7.92959092227272,8.95052267584282,542.030140902907,45.1691784085756,55.7334088142935,8.31579161818031,5.57944000659,14.1814476209667,7.83831472318439,51.271754358889,9.03826680945652,9.0037646656746,2.913943068496
"5",2011,51.298176608,"H12",7.65025703344324,8.88922850623983,531.863740992031,44.3219784160026,53.9337644835821,8.91058290049511,5.42219221729927,12.294967439694,7.09176491268037,55.0156563016639,9.81634422520084,8.00500171445541,3.05361559112895
"6",2011,809.97720352,"H14",7.68210097483979,8.87332100393736,526.386461536608,43.865538461384,54.5443730702052,9.14982925576914,7.28853480347752,13.3136581937935,7.67092717629202,53.5914069877537,10.6459038087761,7.66628233017763,2.91260947504871
"7",2011,104.02471132,"H15",7.7022614478815,8.90107276520081,536.241270548318,44.6867725456931,54.3377305237487,8.86872932739155,5.49856100656039,13.2301954981908,6.68225456624665,53.0573288426935,8.93799247738038,8.30168774912226,2.85262721248946
"8",2011,58.427516856,"H16",7.18617926589563,8.80333372822389,499.83099613312,41.6525830110933,48.7320132445157,7.93084242770499,5.55795252628092,10.3842550361999,7.06061589843189,59.5545116798524,9.41114082585668,7.47776115452524,2.64126472281736
"9",2011,99.078801012,"H18",7.33081962787948,8.82527162308416,513.945779742588,42.828814978549,51.6246296628608,7.88105226553343,5.16160118819571,12.050738091848,7.00763604978444,56.7541080796906,9.08465090618082,7.91807503586959,2.66799864160694
"10",2011,242.10625784,"H19",7.14245932531532,8.79080624625839,521.583323974373,43.4652769978644,49.8292234401916,8.1859182317523,6.5362823858154,10.9218585778914,5.89308401495899,58.1175137568979,9.72926743908015,7.02820287899147,2.54821079643202
"11",2011,75.166409892,"H2",8.27005053001802,9.15711715931397,602.118359526599,50.1765299605499,60.6090559789905,7.87599169464777,5.20388404063754,11.4430875861215,8.61952986573063,57.5549105826122,9.59249718733522,7.39540551707406,2.51743281484684
"12",2011,124.28179553,"H20",7.41592247916234,8.8440677771045,509.899846489576,42.4916538741314,50.8866081279471,7.95516964460071,5.49798730138122,11.4509832104195,6.91731866212629,57.5944371299442,9.76002329677399,7.5606522080764,2.74632708839849
"13",2011,1128.8805774,"H21",7.17574045674414,8.78018069597739,524.439369332917,43.7032807777431,52.6949195355769,9.07314481355381,8.0713144535635,11.8429858092394,6.85981268446962,55.4140037774725,11.1389702532996,7.31170328387308,2.85750012019528
"14",2011,337.83394372,"H22",7.43904349563554,8.82641195208215,518.262736815673,43.1885614013061,53.053870644471,8.21231656764578,6.07306880428226,12.3649680532753,6.78584874494649,55.6375855900709,9.46361190349349,7.70205425457263,2.5727129988276
"15",2011,327.58536054,"H23",7.02701305637853,8.76876643061043,533.694658384761,44.4745548653968,52.3266477915246,9.80174546666771,9.40629001879916,11.7643768778773,6.99319651556817,55.3975655233449,11.7536154545544,7.06469706923742,2.84196978358988
"16",2011,31.724516509,"H25",7.34891327399952,8.83231321535589,496.04404277218,41.3370035643484,49.548773899369,6.64456975279547,4.15745399757838,12.724118484452,7.7157981024926,57.1399107871793,9.52421279312496,7.6295349138309,2.68254257152349
"17",2011,73.216350274,"H26",7.33950425436377,8.83032375686429,500.972542144618,41.7477118453849,49.941069997479,7.71610700402289,4.92133668341716,11.0582221580317,6.42034717717423,58.6146605280268,8.62584347773888,7.37135393186046,2.61445987112774
"18",2011,32.719116186,"H27",7.40508417556136,8.84220323302595,510.315417268,42.5262847723333,51.6822044489817,7.87648632315986,4.92035220456419,11.0904186456392,5.89213204852072,58.5113278281912,8.1443486933806,7.70165350387162,2.65134407761282
"19",2011,60.630577194,"H28",7.3580645978882,8.83287028232447,505.209014598604,42.1007512165503,50.4971609510976,7.64882746171097,5.53958434602833,11.6413271960183,7.02979571206865,57.5916591532318,9.02554032710989,7.68416275784816,2.67457280358951
"20",2011,212.81194389,"H29",7.94924537143724,8.95318861243787,539.34060770068,44.9450506417233,55.2340290293992,8.79075276133084,7.58815331516669,14.3216860923163,6.58784594045806,52.4955345576996,9.35469962860373,8.22258683626637,2.94963316383809
"21",2011,104.42598787,"H3",8.13460923955506,9.13840212166326,620.836124156341,51.7363436796951,63.3237124516907,7.91135845413032,4.50399467197214,9.85369945646911,7.59638042915443,63.1266311922237,9.37934664801399,4.83944342935208,2.84870937716519
"22",2011,310.5908119,"H30",8.06092262527029,8.98317095523374,540.119148125935,45.0099290104946,54.9122156767575,8.35610242908536,6.97850488935612,14.1620400238214,6.48075901320078,52.730469152676,8.9185861613966,8.48096721896781,2.81743355828243
