"","HenID","Status","Age","Fate","CaptureDate","LastHeardDate","FateDate"
"244","H548","mortality","juvenile",5,2015-04-04,2017-08-10,"2017-09-26"
"245","H549","mortality","juvenile",4,2015-04-04,2017-09-26,"2017-11-13"
"246","H55","mortality","adult",3,2011-04-02,2013-08-20,"2013-12-14"
"247","H550","mortality","juvenile",3,2015-04-04,2016-08-05,"2016-08-08"
"248","H551","censored","juvenile",2,2015-04-04,2017-02-22,"2017-02-22"
"249","H552","censored","juvenile",2,2015-04-04,2017-11-13,"2017-11-13"
"250","H555","mortality","adult",5,2015-08-04,2016-09-19 09:37:43,"2016-10-18"
"251","H556","mortality","juvenile",4,2015-08-06,2017-07-20,"2017-07-22"
"252","H557","mortality","juvenile",3,2015-08-24,2015-11-23,"2016-02-17"
"253","H558","mortality","juvenile",4,2015-08-24,2016-02-16,"2016-04-13"
"254","H559","censored","juvenile",2,2015-08-26,2017-07-20,"2017-07-20"
"255","H56","mortality","adult",6,2011-04-03,2011-07-10,"2012-06-27"
"256","H560","censored","juvenile",1,2015-08-27,2016-03-20,"2016-03-20"
"257","H561","mortality","juvenile",3,2015-09-09,2015-09-09,"2015-10-13"
"258","H57","mortality","adult",3,2011-04-13,2012-05-23,"2012-06-06"
"259","H58","mortality","juvenile",5,2011-04-13,2014-10-18,"2014-12-04"
"260","H59","censored","juvenile",2,2011-04-13,2013-08-20,"2013-08-20"
"261","H6","censored","adult",2,2011-04-13,2014-02-20,"2014-02-20"
"262","H60","censored","juvenile",2,2011-04-14,2014-04-17,"2014-04-17"
"263","H600","mortality","adult",10,2016-03-27,2017-09-26,"2017-11-13"
"264","H601","mortality","juvenile",10,2016-03-28,2017-06-01,"2017-06-06"
"265","H602","censored","adult",1,2016-03-28,2019-03-02,"2019-03-02"
"266","H603","mortality","adult",10,2016-03-28,2017-08-09,"2017-09-26"
"267","H604","censored","juvenile",2,2016-03-28,2021-03-25,"2021-03-25"
"268","H605","mortality","juvenile",5,2016-03-28,2016-10-18,"2017-02-15"
"269","H606","mortality","juvenile",5,2016-03-28,2016-03-28,"2016-04-27"
"270","H607","censored","adult",2,2016-03-28,2018-07-08,"2018-07-08"
"271","H608","mortality","adult",3,2016-03-29,2016-03-28,"2016-04-22"
"272","H609","mortality","adult",4,2016-03-29,2016-05-06,"2016-05-17"
"273","H61","mortality","juvenile",3,2011-04-14,2012-02-02,"2012-03-28"
"274","H610","censored","adult",1,2016-04-01,2018-11-30,"2018-11-30"
"275","H611","censored","juvenile",1,2016-04-01,2018-09-26,"2018-09-26"
"276","H612","mortality","adult",3,2016-04-02,2017-07-19,"2017-07-24"
"277","H613","mortality","juvenile",10,2016-04-02,2017-08-09,"2017-09-26"
"278","H614","censored","adult",1,2016-04-01,2019-03-02,"2019-03-02"
"279","H615","mortality","juvenile",10,2016-04-01,2018-06-14,"2018-06-28"
"280","H616","censored","juvenile",2,2016-04-01,2018-04-20 18:47:33,"2018-04-20 18:47:33"
"281","H617","mortality","adult",3,2016-04-01,2018-06-25,"2018-07-13"
"282","H618","mortality","adult",5,2016-04-02,2016-08-05,"2016-08-09"
"283","H619","mortality","juvenile",4,2016-04-02,2018-05-17,"2018-05-20"
"284","H62","mortality","adult",3,2011-04-14,2012-11-13,"2013-01-14"
"285","H620","mortality","juvenile",6,2016-04-04,2016-04-04,"2016-04-17"
"286","H621","mortality","adult",3,2016-04-04,2017-08-10,"2017-09-26"
"287","H622","mortality","adult",5,2016-04-05,2017-07-06,"2017-07-07"
"288","H623","mortality","juvenile",3,2015-04-05,2017-08-09,"2017-09-26"
"289","H624","mortality","juvenile",5,2016-04-06,2016-04-05,"2016-04-27"
"290","H625","mortality","juvenile",4,2016-04-06,2018-01-05,"2018-03-01"
"291","H626","mortality","juvenile",7,2016-04-06,2018-05-15,"2018-05-26"
"292","H627","censored","juvenile",1,2016-04-06,2018-10-31,"2018-10-31"
"293","H628","mortality","adult",3,2016-04-07,2016-04-21,"2016-04-26"
"294","H629","mortality","juvenile",3,2016-04-07,2017-05-12,"2017-05-16"
"295","H63","mortality","adult",10,2011-04-14,2011-11-09,"2011-12-08"
"296","H630","mortality","juvenile",3,2016-04-08,2017-07-05,"2017-07-08"
"297","H631","mortality","adult",10,2016-04-10,2020-04-29,"2020-05-28"
"298","H632","mortality","juvenile",10,2016-04-10,2016-08-23,"2016-09-19"
